Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter)
2000,31172518403.3162,36.7307753268455,,4.16392407955693,372.450487376476,13.6,-38.9160353951234,1.12950984166849,390,296.860781482897,88.2,13.7683069161553,46.2734873538112,24.374,77154011,0.254248,0.99816152,27.2332642563715
2001,32685198808.5549,38.1294216644677,,3.97733545270572,393.045917100693,16.5,-36.3335198640167,1.05123747397877,410,338.145646723974,88.9,13.86238891793,47.913812186498,24.937,77969361,1.26565,1.567564328,27.2724542389611
2002,35064105500.8344,38.4866787864761,,3.99268705133996,424.532561122052,19.3,-33.3172614259211,1.02445055878013,430,390.797649689312,89.1,14.0015644206057,52.2715155184712,25.511,78772224,1.855,2.359044585,27.3729160568005
2003,39552513231.9169,39.4700078083864,,3.66601229989583,441.290287161707,22.6,-30.3163745821006,0.999847904782733,480,448.105926394118,90.3,12.8821014050092,53.5150715499385,26.092,79563777,3.78028,3.365415447,27.4669078615838
2004,45427854693.2554,40.2087495299221,,3.54408107288199,485.041363051563,25.9,-47.7527735517732,0.969589431962946,550,500.367374633165,91.0,13.0061243480707,58.2632847635648,26.683,80338971,7.64241,6.025909442,27.4866878050048
2005,57633255738.1992,38.1311399002846,18.8232835631471,3.39040363930871,508.726121851863,29.35,-47.2893012060121,0.928402391177897,650,589.246442949183,96.1,11.6631877143283,60.5328603933172,27.281,81088313,12.7399,11.53831883,27.3645140387577
2006,66371664817.0436,38.5847310338981,19.3807256267869,3.61600090432522,514.449018939842,33.1,-46.523327446109,1.32258336381927,740,664.444411909435,96.0,11.3451143107467,60.7242132786692,27.888,82167897,17.2546,22.50396061,27.0007597054278
2007,77414425532.2452,38.5116248479069,19.3804144953877,8.65471771434805,543.860534146804,36.8,-38.8398064130833,1.76779845772365,860,743.638529474627,93.1,11.1106136580707,62.7298752297796,28.504,83633375,20.7554,53.11803062,26.3605983485498
2008,99130304099.1274,37.0776963788801,18.5796576460957,9.6630390545572,570.996443261552,41.0,-26.4517157494904,1.82745521345807,1000,812.61355633129,93.8,10.0836557850564,64.5638521929196,29.128,85175788,23.92,87.47047116,25.4734887212418
2009,106014659565.214,37.3881863793419,18.3010354592131,7.16881988884276,613.731435956907,45.1,-25.2350445829429,1.49648723830416,1120,912.780286490341,96.1,9.60024045686805,66.7963942866577,29.762,86460018,26.55,113.5761578,24.3688895766214
2010,147201173196.979,33.0228771360005,17.1305705708367,5.4347392933443,673.624453822915,49.8,-12.6903585180516,1.14440259659988,1370,1028.42426024255,97.4,10.1124305870204,70.3281775071395,30.417,87455152,30.65,127.6386103,23.0762596678067
2011,172595049183.925,34.580408780539,18.694145538196,4.30487434902161,665.577169245025,55.2,-15.9655986015537,1.15183406119192,1630,1107.8316695399,99.0,9.54819740179876,68.4988899076788,31.08,88468314,35.07,144.1078862,20.4905765848944
2012,195590661129.249,35.8602323946766,20.2740924828827,4.27832287681174,669.497907035472,60.4,-15.7343261457658,1.1709874078049,1980,1210.23985202338,97.9,9.11201442274985,66.9781044923393,31.752,89510356,36.8,147.4487893,21.5116439458873
2013,213708811665.34,35.575150437736,20.6874536915425,4.16454517277325,661.649102806502,66.3,-15.1058744822691,1.1802975549343,2200,1279.38642800627,98.5,9.19762662529787,69.8218365547114,32.429,90573104,38.5,137.0761674,23.2274925075316
2014,233451469642.519,35.2985684880333,20.371229229791,3.94086189051961,,72.1,,1.21423463554626,2390,1424.23212288346,99.2,9.28671228459857,,33.115,91679578,41.0,149.2271298,20.4035064934273
2015,239258328381.741,34.2665466382117,20.9600916821922,4.93190773329022,,78.0,,1.23975403093124,2460,,99.3,,,33.809,92823254,45.0,130.5154869,19.377014054477
2016,257096001177.982,34.1152288612372,21.4882532002034,4.90089302916746,,83.6,,1.25988366517733,2560,,99.2,,,34.51,94000117,53.0,129.5014832,20.3304456216218
2017,281353605986.903,35.3903640729728,22.6271239749306,5.01148721749681,,88.0,,1.24420473643635,2680,,100.0,,,35.213,95176977,58.14,127.6319162,18.5797797556674
2018,310106478394.659,36.5424334086447,23.3671679233065,4.99828319622328,,91.7,,1.10791395242199,3020,,100.0,,,35.919,96237319,69.8479,148.1748225,20.1630176303186
2019,334365270496.667,36.8031368977554,23.7867165015145,4.821074861051,,94.2,,0.968366698803348,3290,,99.4,,,36.628,97173776,68.6616,142.2374996,20.8317868906878
2020,346615738537.796,36.7437132938801,23.9472430412931,4.55836196782424,,96.0,,0.927434295850725,3400,,99.8,,,37.34,98079191,70.3,143.7522156,20.8010641731194
2021,366474752771.009,37.39151924693,24.4593726835113,4.27314566190187,,97.1,,0.868883560805873,3540,,100.0,,,38.052,98935098,74.21,138.8654955,
2022,410324028883.325,38.175376111625,24.5795734424262,4.3624059864868,,98.1,,0.750756665157789,3960,,100.0,,,38.766,99680655,78.59,139.9496874,
