Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),Demand (TWh),Country
2000,6570999059.70575,66.2665825490249,2.45967156476995,,7304.93468617504,100.0,-725.508428160801,2.17184750364769,19390,7701.63958532461,100.0,1.14038537160834,,71.164,326424,8.99628,28.44941694,7.15237071655279,2514.0000000000005,Brunei Darussalam
2001,6096155747.56182,62.747589703032,2.29641446656721,0.995621604337453,6623.00919467819,100.0,-799.196782964715,2.09808399029796,19270,7325.74359897404,100.0,5.31213648701047,,71.652,333345,12.9178,41.96767112,7.14419998443377,2442.0000000000014,Brunei Darussalam
2002,6333082878.97992,63.0811811095942,2.85753016535136,3.62654271330788,6343.40589063773,100.0,-839.333573129704,2.00587619956124,18960,7518.39905439299,100.0,5.33135875601629,99.9999072952175,72.046,340099,15.3299,44.21967231,7.16359869799834,2557.0000000000014,Brunei Darussalam
2003,7167725264.75135,66.4844980628421,2.49651780543055,1.72747847570747,7226.39245089243,100.0,-746.201598045458,1.90413711851639,19840,8715.16889426114,100.0,5.32748354747728,100.0,72.421,346637,19.595,50.09673912,7.18894518991816,3020.9999999999986,Brunei Darussalam
2004,8619178799.47025,70.1910453455162,2.1141374391862,1.31341824546458,6507.90142557189,100.0,-803.435958392657,1.79377776163247,22190,8755.74861650671,100.0,5.33088235294118,100.0,72.794,352911,29.7156,56.16529944,7.19861779286489,3089.9999999999995,Brunei Darussalam
2005,10547202612.4295,73.1530053254546,1.6722499966591,1.65985733844246,6179.46817639782,100.0,-849.55521188867,1.68724773243682,25670,8609.25676202788,100.0,5.33088235294118,100.0,73.163,358916,36.4664,63.5094637,7.17099483951018,3089.9999999999986,Brunei Darussalam
2006,12644616446.1918,74.9262612239589,1.2269150521277,0.694676099407027,8642.2834233251,100.0,-608.136737784708,1.58852615956489,30720,8561.32922725914,100.0,5.33656761673742,100.0,73.529,364663,42.1863,80.84590459,7.04449810766191,3122.0,Brunei Darussalam
2007,13432029495.6785,73.3951064270473,1.10446083928724,1.91806992064155,8701.7280848161,100.0,-542.866744173652,1.68860465252749,33470,8709.18077077598,100.0,4.860088365243,100.0,73.892,370873,44.68,96.67060948,6.82039311579094,3230.0,Brunei Darussalam
2008,15926456491.5178,76.4320817859321,0.902506028214556,1.39506581145342,9377.27803320866,100.0,-495.880028340207,1.84867406299599,36700,8626.41711201637,100.0,4.79111890154835,,74.252,377793,46.0,103.7155978,6.57132380756337,3259.0000000000005,Brunei Darussalam
2009,11912904529.0722,67.2954810785281,1.22236133267364,2.73305999382492,7904.3776886469,100.0,-522.428639880426,1.87722246166003,35470,8816.6836384796,100.0,6.03543743078627,99.9999342711957,74.608,384952,49.0,105.7828245,6.36993412664528,3393.999999999999,Brunei Darussalam
2010,13707121031.2552,68.6533506775087,1.24945271925881,,8259.16315773376,100.0,-473.19072663497,1.89897689252094,35370,8727.30238675408,100.0,9.70464135021097,,74.961,392332,53.0,109.8603214,6.28886801670278,3424.0000000000014,Brunei Darussalam
2011,18524791070.6802,73.6724143877158,1.22071585484908,,9697.02470523725,100.0,-382.704805332459,1.78274591747739,36520,8658.22543935862,100.0,7.16778523489933,99.9956363279571,75.31,399389,56.0,110.3746893,7.22534325195967,3458.0,Brunei Darussalam
2012,19048443339.9457,72.6556143000405,1.45830396709514,,9443.9154052328,100.0,-383.542312546638,1.53255515873327,41690,9091.20049709412,100.0,6.18320610687023,99.9955353016648,75.656,405557,60.2731,115.5191155,7.64174071359111,3687.0,Brunei Darussalam
2013,18094148099.4922,70.0224439279192,1.14519241910596,,7398.2081799213,100.0,-458.372543437915,1.38231470645459,44580,9710.5558825103,100.0,9.29123125851885,99.9943789901774,75.997,411202,64.5,113.8721697,7.81045226819353,3993.0000000000005,Brunei Darussalam
2014,17097797371.9718,67.8496306363655,1.58675856271092,3.35660901431162,8527.80563887223,100.0,-357.394379176148,1.34019436885468,42370,10118.7762447511,100.0,6.41367066134043,99.9951884698856,76.332,416750,68.77,108.4957375,8.03840256929202,4217.000000000021,Brunei Darussalam
2015,12930296852.4882,61.3627776894002,1.6178324732843,1.3247117972472,,100.0,,1.30210359279592,38180,,100.0,,,76.663,422212,71.2,109.9533264,7.76801290951484,,Brunei Darussalam
2016,11400266055.3232,57.2893640811557,1.80933250875751,-1.32059047200933,,100.0,,1.25964272152269,32570,,100.0,,,76.99,427564,90.0,122.8780218,7.70809372713425,,Brunei Darussalam
2017,12128168046.7827,59.7205892141163,1.76286616709727,3.85818821533147,,100.0,,1.2107045656128,29230,,100.0,,,77.312,432772,94.8667,126.6006005,7.23064895379441,,Brunei Darussalam
2018,13566908401.1864,63.244818370328,2.13432149853163,3.80486552547671,,100.0,,1.15739958778106,28790,,100.0,,,77.629,437810,95.0,130.3207192,7.49485587718805,,Brunei Darussalam
2019,13469235348.2211,62.5153213959076,2.32782256470564,2.77118008258428,,100.0,,1.10621350885567,31550,,100.0,,,77.942,442680,95.0,131.2182683,7.94585811311948,,Brunei Darussalam
2020,12005799664.2691,59.1336301292727,6.83209894472881,4.71057564880466,,100.0,,1.06148281648515,30810,,100.0,,,78.25,447404,95.0503,121.4758051,7.59726503432135,,Brunei Darussalam
2021,14006496614.3195,62.7015640831986,9.67845068289214,1.46181722277193,,100.0,,0.96027430523198,29890,,100.0,,,78.554,451721,95.6225,135.501254,,,Brunei Darussalam
